contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
AAPL260320P00135000,2025-01-31 19:45:13+00:00,135.0,1.46,1.06,1.24,0.0,0.0,1.0,2.0,0.3403386279296875,False,REGULAR,USD,2026-03-20
AAPL260320P00140000,2025-02-11 19:38:14+00:00,140.0,1.3,1.22,1.35,-0.23000002,-15.032681,1.0,17.0,0.3280096496582031,False,REGULAR,USD,2026-03-20
AAPL260320P00145000,2025-02-03 15:36:36+00:00,145.0,2.1,1.44,1.53,0.0,0.0,,1.0,0.3186103295898437,False,REGULAR,USD,2026-03-20
AAPL260320P00150000,2025-02-13 20:02:48+00:00,150.0,1.8,1.65,1.75,0.0,0.0,1.0,30.0,0.31018756225585936,False,REGULAR,USD,2026-03-20
AAPL260320P00155000,2025-01-31 20:10:25+00:00,155.0,2.59,1.91,2.05,0.0,0.0,5.0,15.0,0.3037789349365234,False,REGULAR,USD,2026-03-20
AAPL260320P00160000,2025-02-13 20:30:26+00:00,160.0,2.4,2.19,2.31,0.0,0.0,1.0,31.0,0.29492892578124996,False,REGULAR,USD,2026-03-20
AAPL260320P00165000,2025-02-13 14:41:02+00:00,165.0,3.03,2.1,2.67,0.0,0.0,2.0,44.0,0.2882151257324218,False,REGULAR,USD,2026-03-20
AAPL260320P00170000,2025-02-11 16:13:45+00:00,170.0,3.65,2.51,3.05,0.0,0.0,22.0,70.0,0.2809520147705078,False,REGULAR,USD,2026-03-20
AAPL260320P00175000,2025-02-13 16:05:49+00:00,175.0,3.7,3.3,3.55,0.0,0.0,18.0,62.0,0.27545890563964837,False,REGULAR,USD,2026-03-20
AAPL260320P00180000,2025-02-11 15:36:43+00:00,180.0,5.0,3.85,4.1,0.0,0.0,22.0,206.0,0.26972165832519535,False,REGULAR,USD,2026-03-20
AAPL260320P00185000,2025-02-14 20:57:35+00:00,185.0,4.43,4.4,4.55,-0.42000008,-8.659796,4.0,70.0,0.26081061462402344,False,REGULAR,USD,2026-03-20
AAPL260320P00190000,2025-02-14 17:21:54+00:00,190.0,5.2,5.1,5.25,-0.46000004,-8.12721,30.0,52.0,0.2555616436767578,False,REGULAR,USD,2026-03-20
AAPL260320P00195000,2025-02-12 14:54:38+00:00,195.0,7.58,5.75,6.1,0.0,0.0,4.0,75.0,0.251411294555664,False,REGULAR,USD,2026-03-20
AAPL260320P00200000,2025-02-14 19:53:56+00:00,200.0,6.8,6.65,6.9,-0.42999983,-5.947439,195.0,94.0,0.2449721499633789,False,REGULAR,USD,2026-03-20
AAPL260320P00210000,2025-02-14 20:42:18+00:00,210.0,8.9,8.7,8.9,-0.6000004,-6.3157935,36.0,143.0,0.23383334533691402,False,REGULAR,USD,2026-03-20
AAPL260320P00220000,2025-02-14 16:53:55+00:00,220.0,11.32,11.2,11.45,-2.4300003,-17.67273,15.0,96.0,0.22382367980957027,False,REGULAR,USD,2026-03-20
AAPL260320P00230000,2025-02-14 16:43:54+00:00,230.0,14.5,14.2,14.45,-2.4500008,-14.454281,2.0,438.0,0.21276116836547854,False,REGULAR,USD,2026-03-20
AAPL260320P00240000,2025-02-14 19:59:40+00:00,240.0,18.1,17.9,18.1,-1.1299992,-5.8762307,7.0,150.0,0.20204960556030271,False,REGULAR,USD,2026-03-20
AAPL260320P00250000,2025-02-14 16:57:03+00:00,250.0,22.45,22.2,22.5,-1.7999992,-7.422677,22.0,161.0,0.19178054321289065,True,REGULAR,USD,2026-03-20
AAPL260320P00260000,2025-02-13 20:15:11+00:00,260.0,27.7,27.25,27.6,-1.25,-4.317789,30.0,22.0,0.1806569972229004,True,REGULAR,USD,2026-03-20
AAPL260320P00270000,2025-02-14 17:21:49+00:00,270.0,33.5,31.4,33.5,-5.799999,-14.758268,11.0,31.0,0.16895362304687503,True,REGULAR,USD,2026-03-20
AAPL260320P00280000,2025-01-31 14:50:34+00:00,280.0,41.35,39.2,40.45,0.0,0.0,2.0,1.0,0.15908128524780274,True,REGULAR,USD,2026-03-20
AAPL260320P00290000,2025-01-30 19:39:47+00:00,290.0,53.5,46.9,47.85,0.0,0.0,,14.0,0.14255618194580078,True,REGULAR,USD,2026-03-20
AAPL260320P00310000,2025-02-17 05:05:03+00:00,310.0,65.7,,,0.0,0.0,,,0.0,True,REGULAR,USD,2026-03-20
