contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate
AAPL250815C00150000,2025-02-10 20:04:07+00:00,150.0,82.08,0.0,0.0,0.0,0.0,2.0,405,1.0000000000000003e-05,True,REGULAR,USD,2025-08-15
AAPL250815C00155000,2025-02-05 17:42:11+00:00,155.0,79.6,0.0,0.0,0.0,0.0,1.0,32,1.0000000000000003e-05,True,REGULAR,USD,2025-08-15
AAPL250815C00160000,2025-01-16 20:19:26+00:00,160.0,74.5,0.0,0.0,0.0,0.0,1.0,23,1.0000000000000003e-05,True,REGULAR,USD,2025-08-15
AAPL250815C00165000,2025-02-07 15:40:43+00:00,165.0,70.21,0.0,0.0,0.0,0.0,252.0,301,1.0000000000000003e-05,True,REGULAR,USD,2025-08-15
AAPL250815C00170000,2025-02-10 15:00:21+00:00,170.0,64.4,0.0,0.0,0.0,0.0,1.0,80,1.0000000000000003e-05,True,REGULAR,USD,2025-08-15
AAPL250815C00175000,2025-02-07 15:17:28+00:00,175.0,60.77,0.0,0.0,0.0,0.0,5.0,53,1.0000000000000003e-05,True,REGULAR,USD,2025-08-15
AAPL250815C00180000,2025-02-04 19:51:35+00:00,180.0,58.5,0.0,0.0,0.0,0.0,4.0,126,1.0000000000000003e-05,True,REGULAR,USD,2025-08-15
AAPL250815C00185000,2025-02-10 15:23:55+00:00,185.0,51.82,0.0,0.0,0.0,0.0,40.0,180,1.0000000000000003e-05,True,REGULAR,USD,2025-08-15
AAPL250815C00190000,2025-02-10 20:31:16+00:00,190.0,45.37,0.0,0.0,0.0,0.0,12.0,87,1.0000000000000003e-05,True,REGULAR,USD,2025-08-15
AAPL250815C00195000,2025-02-07 19:17:29+00:00,195.0,41.59,0.0,0.0,0.0,0.0,7.0,198,1.0000000000000003e-05,True,REGULAR,USD,2025-08-15
AAPL250815C00200000,2025-02-10 17:26:38+00:00,200.0,37.95,0.0,0.0,0.0,0.0,107.0,540,1.0000000000000003e-05,True,REGULAR,USD,2025-08-15
AAPL250815C00205000,2025-02-04 18:02:56+00:00,205.0,37.24,0.0,0.0,0.0,0.0,2.0,328,1.0000000000000003e-05,True,REGULAR,USD,2025-08-15
AAPL250815C00210000,2025-02-10 20:21:17+00:00,210.0,29.53,0.0,0.0,0.0,0.0,10.0,505,1.0000000000000003e-05,True,REGULAR,USD,2025-08-15
AAPL250815C00215000,2025-02-10 15:46:40+00:00,215.0,27.32,0.0,0.0,0.0,0.0,2.0,854,1.0000000000000003e-05,True,REGULAR,USD,2025-08-15
AAPL250815C00220000,2025-02-10 18:14:45+00:00,220.0,23.4,0.0,0.0,0.0,0.0,11.0,616,1.0000000000000003e-05,True,REGULAR,USD,2025-08-15
AAPL250815C00225000,2025-02-10 20:46:39+00:00,225.0,19.65,0.0,0.0,0.0,0.0,290.0,3920,1.0000000000000003e-05,True,REGULAR,USD,2025-08-15
AAPL250815C00230000,2025-02-10 20:57:24+00:00,230.0,16.8,0.0,0.0,0.0,0.0,327.0,3162,0.0039162109375,False,REGULAR,USD,2025-08-15
